Imdb,Title,Year,Rating
TT0120755,Mission Impossible Ii,2000,1
TT0325980,Pirates Of The Caribbean: The Curse Of The Black Pearl,2003,7
TT0365830,Pick Of Destiny Tenacious D,2006,5
TT0183649,Phonebooth,2002,4
TT0316396,Peter Pan,2003,2
TT0964539,Pathology,2008,7
TT0223897,Pass It Forward,2000,4
TT1396219,Outcast,2010,4
TT0073486,One Flew Over The Cuckoos Nest,1975,4
TT0362227,The Terminal,2004,3
TT0499448,The Tales Of Narnia: Prince Caspian,2008,5
TT0134119,The Talented Mr Ripley,1999,7
TT0070735,The Sting,1973,8
TT0120185,The Spice Girls Movie,1997,1
TT0462538,The Simpsons Movie,2007,3
TT0081505,The Shining,1980,4
TT0363988,The Secret Window,2004,4
TT0178868,Ringu,1998,7
TT0298130,The Ring I Usa,2002,6
TT0444682,The Reaping,2007,7
TT0258000,The Panic Room,2002,5
TT0395699,The Pacifier,2005,3
TT0481369,The Number 23,2007,9
TT0332280,The Notebook,2004,3
TT0100240,The Never Ending Story Ii,1990,3
TT0088323,The Never Ending Story I,1984,3
TT0449077,The Net 2.0,2006,3
TT0113957,The Net,1995,3
TT0120616,The Mummy,1999,3
TT0109520,D2: The Mighty Ducks,1994,5
TT0104868,The Mighty Ducks,1992,5
TT0236493,The Mexican,2001,3
TT0291341,The Mean Machine,2001,8
TT0242653,The Matrix iii Revolutions,2003,5
TT0234215,The Matrix ii Reloaded,2003,5
TT0133093,The Matrix i,1999,5
TT0120746,The Mask Of Zorro,1998,2
TT0289992,The Life Of David Gale,2003,9
TT0375920,The Libertine,2004,7
TT0311429,The League Of Extraordinary Gentleman,2003,6
TT0095489,The Land Before Time,1988,3
TT0097647,The Karate Kid iii,1989,3
TT0091326,The Karate Kid ii,1986,3
TT0087538,The Karate Kid i,1984,3
TT0064505,The Italian Job Original,1969,3
TT0435670,The Invisible,2007,3
TT0443543,The Illusionist,2006,10
TT0054997,The Hustler,1961,3
TT0468492,The Host,2006,3
TT0462338,The Hoax,2006,3
TT0455960,The Hitcher,2007,3
TT0464049,The History Boys,2006,8
TT0800069,The Hills Have Eyes Ii,2007,5
TT0454841,The Hills Have Eyes I,2006,5
TT0462517,The Haunted Forest,2007,3
TT0304262,The Happiness Of The Katakuris,2001,10
TT0433386,The Grudge Ii Usa,2006,4
TT0391198,The Grudge I Usa,2004,4
TT0120689,The Green Mile,1999,4
TT0364385,The Grudge I Tae,2002,9
TT0089218,The Goonies,1985,4
TT0119164,The Full Monty,1997,4
TT0463985,The Fast And The Furious Tokyo Drift,2006,5
TT0322259,2 Fast 2 Furious,2003,6
TT0232500,The Fast And The Furious,2001,6
TT0406759,The Eye Usa,2008,6
TT0080678,The Elephant Man,1980,5
TT0309987,The Dreamers,2003,5
TT0458352,The Devil Wears Prada,2006,5
TT0115988,The Crucible,1996,5
TT0109506,The Crow,1994,5
TT0115963,The Craft,1996,5
TT0121164,The Corpse Bride,2005,7
TT0445946,The Contract,2006,4
TT0443473,The Condemned,2007,5
TT0289879,The Butterfly Effect,2004,7
TT0355295,The Brothers Grimm,2005,7
TT0088847,The Breakfast Club,1985,2
TT0387877,The Black Dahlia,2006,3
TT0118715,The Big Lebowski,1998,5
TT0163978,The Beach,2000,5
TT0200465,The Bank Job,2008,6
TT0119116,The 5th Element,1997,5
TT0139809,The 13th Floor,1999,4
TT0181852,Terminator Iii,2003,3
TT0103064,Terminator Ii,1991,3
TT0088247,Terminator I,1984,3
TT0100758,Teenage Mutant Ninja Turtles,1990,3
TT0372588,Team America World Police,2004,7
TT0451094,Lady Vengeance,2005,5
TT0310775,Sympathy For Mr Vengeance,2002,5
TT0408236,Sweeney Todd,2007,5
TT0324127,Suspect Zero,2004,2
TT0145531,Stigmata,1999,5
TT0335438,Starsky & Hutch,2004,3
TT0120915,Star Wars: The Phantom Menace,1999,3
TT0345950,Spongebob Squarepants,2004,2
TT0413300,Spiderman 3,2007,4
TT0316654,Spiderman 2,2004,4
TT0145487,Spiderman 1,2002,4
TT0111257,Speed I,1994,2
TT0094012,Spaceballs,1987,4
TT0129387,Something About Mary,1998,4
TT0084701,Snowman,1982,3
TT0408196,Sniper Iii,2004,1
TT0208092,Snatch,2000,9
TT0417148,Snakes On A Plane,2006,1
TT0475394,Smoking Aces,2006,5
TT0162661,Sleepy Hollow,1999,9
TT0108147,Sister Act Ii,1993,1
TT0105417,Sister Act I,1992,2
TT0045152,Singing In The Rain,1952,2
TT0384537,Silent Hill,2006,7
TT0289765,Red Dragon,2002,5
TT0212985,Hannibal,2001,5
TT0102926,Silence Of The Lambs,1991,5
TT0365748,Shaun Of The Dead,2004,3
TT0126029,Shrek,2001,3
TT0096101,Short Circuit Ii,1988,3
TT0091949,Short Circuit I,1986,3
TT0822854,Shooter,2007,5
TT0160862,Shes All That,1999,5
TT0111161,Shawshank Redemption,1994,6
TT0184894,Shanghai Noon,2000,3
TT0114369,Seven,1995,6
TT0274812,Secretary,2002,6
TT0134084,Scream iii,2000,3
TT0120082,Scream ii,1997,3
TT0117571,Scream i,1996,3
TT0332379,School Of Rock,2003,5
TT0257106,Scary Movie 2,2001,3
TT0175142,Scary Movie 1,2000,3
TT0086250,Scarface,1983,5
TT0890870,Saw iv,2007,9
TT0489270,Saw iii,2006,9
TT0432348,Saw ii,2005,9
TT0387564,Saw i,2004,10
TT0120815,Saving Private Ryan,1998,3
TT0425413,Run Fat Boy Run,2007,3
TT0165929,Romeo Must Die,2000,3
TT0117509,Romeo And Juliet,1996,7
TT0358082,Robots,2005,4
TT0102798,Robin Hood: Prince Of Thieves,1991,5
TT0257044,Road To Perdition,2002,4
TT0110997,River Wild,1994,3
TT0365686,Revolver,2005,4
TT0120804,Resident Evil,2002,7
TT0105236,Reservoir Dogs,1992,6
TT0180093,Requiem For A Dream,2000,7
TT0110912,Pulp Fiction,1994,7
TT0054215,Psycho,1960,3
TT0926129,Prom Night,2008,2
TT0468536,Prey,2007,3
TT0477071,Premonition,2007,6
TT0398712,Assualt On Precinct 13,2005,3
TT0120791,Practical Magic,1998,3
TT0098105,Police Academy vi,1989,3
TT0095882,Police Academy v,1984,3
TT0093756,Police Academy iv,1987,3
TT0091777,Police Academy iii,1986,3
TT0089822,Police Academy ii,1985,3
TT0087928,Police Academy i,1984,3
TT1077258,Planet Terror,2007,6
TT0063442,Planet Of The Apes (Original),1968,3
TT0133152,Planet Of The Apes (Remake),2001,5
TT0093748,Planes Trains And Automobiles,1987,2
TT0449088,Pirates Of The Caribbean: At Worlds End,2007,5
TT0383574,Pirates Of The Caribbean: Dead Mans Chest,2006,7
TT0409345,Surveillance,2008,9
TT1715336,Mindscape,2013,8
TT0304711,The Order,2003,4
TT0458525,X-Men Origins: Wolverine,2009,4
TT0806203,Carriers,2009,4
TT1332106,The Last Harbor,2010,2
TT0438052,The Gene Generation,2007,2
TT0478970,Ant Man,2015,6
TT2096673,Inside Out,2015,6
TT0985025,Dark Floors,2008,3
TT0460435,In A Dark Place,2006,3
TT2084970,The Imitation Game,2014,8
TT1870527,Remains,2011,3
TT1649419,The Impossible,2012,4
TT0370032,Ultraviolet,2006,2
TT1502712,Fantastic Four,2015,4
TT1638355,The Man From U.N.C.L.E.,2015,7
TT2752772,Sinister 2,2015,6
TT0472399,The Mechanic,2011,6
TT2040560,The Pact,2012,3
TT2679042,Hitman: Agent 47,2015,5
TT2938956,The Transporter Refueled,2015,6
TT3567288,The Visit,2015,6
TT3569230,Legend,2015,8
TT1233301,Ironclad,2011,6
TT2872718,Nightcrawler,2014,7
TT4046784,Maze Runner: The Scorch Trials,2015,4
TT1790864,The Maze Runner,2014,4
TT3319920,Regression,2015,4
TT1951264,The Hunger Games: Catching Fire,2013,5
TT1951265,The Hunger Games: Mockingjay - Part 1,2014,6
TT3235888,It Follows,2014,5
TT2379713,Spectre,2015,6
TT1853739,Youre Next,2011,5
TT1951266,The Hunger Games: Mockingjay - Part 2,2015,7
TT2614684,71,2014,9
TT0479997,Season Of The Witch,2011,2
TT1454468,Gravity,2013,6
TT3294200,The Falling,2014,5
TT2193215,The Counsellor,2013,4
TT1212450,Lawless,2012,7
TT1598873,Cleanskin,2012,6
TT2184339,The Purge,2013,3
TT1928340,After The Dark,2013,8
TT3816458,Dead Rising,2015,2
TT3520418,We Are Still Here,2015,2
TT1645074,Four,2011,9
TT1772341,Wreck-It Ralph,2012,6
TT0366548,Happy Feet,2006,5
TT1606378,A Good Day To Die Hard,2013,4
TT1881060,Static,2012,6
TT2165859,In Fear,2013,8
TT0337978,Die Hard 4.0,2007,4
TT0252503,Heist,2001,6
TT1483013,Oblivion,2013,6
TT1456635,Goon,2011,5
TT2719848,Everest,2015,7
TT1667310,Deadfall,2012,7
TT1780798,Clown,2014,4
TT2752758,Devils Due,2014,4
TT1431045,Deadpool,2016,7
TT1663202,The Revenant,2015,6
TT3152624,Trainwreck,2015,3
TT3793788,The Escort,2015,3
TT3659388,The Martian,2015,8
TT3460252,The Hateful Eight,2015,7
TT2080374,Steve Jobs,2015,2
TT0816692,Interstellar,2014,7
TT0470752,Ex Machina,2015,6
TT3970874,Luciferous,2015,4
TT2446980,Joy,2015,8
TT3952108,The Dead Room,2015,4
TT3300542,London Has Fallen,2016,3
TT0882977,Snitch,2013,3
